
Report for ../Lab1Assigment1/knapsack-200.txt

Checking for geometric cooling different values
iterations=300, T_max=10000, T_min=1, alpha=0.9, neighbours checked=2400 => result=132304
iterations=300, T_max=10000, T_min=1, alpha=0.95, neighbours checked=2400 => result=132516
iterations=300, T_max=10000, T_min=1, alpha=0.99, neighbours checked=2400 => result=132269
iterations=300, T_max=10000, T_min=0.1, alpha=0.9, neighbours checked=2700 => result=132610
iterations=300, T_max=10000, T_min=0.1, alpha=0.95, neighbours checked=2700 => result=132697
iterations=300, T_max=10000, T_min=0.1, alpha=0.99, neighbours checked=2700 => result=133511
iterations=300, T_max=10000, T_min=0.01, alpha=0.9, neighbours checked=3000 => result=132178
iterations=300, T_max=10000, T_min=0.01, alpha=0.95, neighbours checked=3000 => result=132525
iterations=300, T_max=10000, T_min=0.01, alpha=0.99, neighbours checked=3000 => result=132083

Report for ../Lab1Assigment1/knapsack-200.txt

Checking for logarithmic cooling different values
iterations=50, T_max=100, T_min=1, alpha=0.9, neighbours checked=500 => result=131939
iterations=50, T_max=100, T_min=1, alpha=0.95, neighbours checked=500 => result=131835
iterations=50, T_max=100, T_min=1, alpha=0.99, neighbours checked=500 => result=130419
iterations=50, T_max=100, T_min=0.1, alpha=0.9, neighbours checked=650 => result=131496
iterations=50, T_max=100, T_min=0.1, alpha=0.95, neighbours checked=650 => result=131798
iterations=50, T_max=100, T_min=0.1, alpha=0.99, neighbours checked=650 => result=132634
iterations=50, T_max=100, T_min=0.01, alpha=0.9, neighbours checked=750 => result=132185
iterations=50, T_max=100, T_min=0.01, alpha=0.95, neighbours checked=750 => result=132048
iterations=50, T_max=100, T_min=0.01, alpha=0.99, neighbours checked=750 => result=131025
iterations=50, T_max=1000, T_min=1, alpha=0.9, neighbours checked=650 => result=131662
iterations=50, T_max=1000, T_min=1, alpha=0.95, neighbours checked=650 => result=131859
iterations=50, T_max=1000, T_min=1, alpha=0.99, neighbours checked=650 => result=132602
iterations=50, T_max=1000, T_min=0.1, alpha=0.9, neighbours checked=750 => result=131926
iterations=50, T_max=1000, T_min=0.1, alpha=0.95, neighbours checked=750 => result=131834
iterations=50, T_max=1000, T_min=0.1, alpha=0.99, neighbours checked=750 => result=132045
iterations=50, T_max=1000, T_min=0.01, alpha=0.9, neighbours checked=850 => result=131735
iterations=50, T_max=1000, T_min=0.01, alpha=0.95, neighbours checked=850 => result=132824
iterations=50, T_max=1000, T_min=0.01, alpha=0.99, neighbours checked=850 => result=132781
iterations=50, T_max=10000, T_min=1, alpha=0.9, neighbours checked=750 => result=132711
iterations=50, T_max=10000, T_min=1, alpha=0.95, neighbours checked=750 => result=132094
iterations=50, T_max=10000, T_min=1, alpha=0.99, neighbours checked=750 => result=132391
iterations=50, T_max=10000, T_min=0.1, alpha=0.9, neighbours checked=850 => result=131868
iterations=50, T_max=10000, T_min=0.1, alpha=0.95, neighbours checked=850 => result=132540
iterations=50, T_max=10000, T_min=0.1, alpha=0.99, neighbours checked=850 => result=132241
iterations=50, T_max=10000, T_min=0.01, alpha=0.9, neighbours checked=950 => result=133015
iterations=50, T_max=10000, T_min=0.01, alpha=0.95, neighbours checked=950 => result=133001
iterations=50, T_max=10000, T_min=0.01, alpha=0.99, neighbours checked=950 => result=132342
iterations=100, T_max=100, T_min=1, alpha=0.9, neighbours checked=1000 => result=132537
iterations=100, T_max=100, T_min=1, alpha=0.95, neighbours checked=1000 => result=131418
iterations=100, T_max=100, T_min=1, alpha=0.99, neighbours checked=1000 => result=132318
iterations=100, T_max=100, T_min=0.1, alpha=0.9, neighbours checked=1300 => result=130832
iterations=100, T_max=100, T_min=0.1, alpha=0.95, neighbours checked=1300 => result=131986
iterations=100, T_max=100, T_min=0.1, alpha=0.99, neighbours checked=1300 => result=131443
iterations=100, T_max=100, T_min=0.01, alpha=0.9, neighbours checked=1500 => result=131841
iterations=100, T_max=100, T_min=0.01, alpha=0.95, neighbours checked=1500 => result=132530
iterations=100, T_max=100, T_min=0.01, alpha=0.99, neighbours checked=1500 => result=132391
iterations=100, T_max=1000, T_min=1, alpha=0.9, neighbours checked=1300 => result=131545
iterations=100, T_max=1000, T_min=1, alpha=0.95, neighbours checked=1300 => result=132428
iterations=100, T_max=1000, T_min=1, alpha=0.99, neighbours checked=1300 => result=133145
iterations=100, T_max=1000, T_min=0.1, alpha=0.9, neighbours checked=1500 => result=131968
iterations=100, T_max=1000, T_min=0.1, alpha=0.95, neighbours checked=1500 => result=133193
iterations=100, T_max=1000, T_min=0.1, alpha=0.99, neighbours checked=1500 => result=132537
iterations=100, T_max=1000, T_min=0.01, alpha=0.9, neighbours checked=1700 => result=131667
iterations=100, T_max=1000, T_min=0.01, alpha=0.95, neighbours checked=1700 => result=132204
iterations=100, T_max=1000, T_min=0.01, alpha=0.99, neighbours checked=1700 => result=132366
iterations=100, T_max=10000, T_min=1, alpha=0.9, neighbours checked=1500 => result=132562
iterations=100, T_max=10000, T_min=1, alpha=0.95, neighbours checked=1500 => result=132924
iterations=100, T_max=10000, T_min=1, alpha=0.99, neighbours checked=1500 => result=132282
iterations=100, T_max=10000, T_min=0.1, alpha=0.9, neighbours checked=1700 => result=131803
iterations=100, T_max=10000, T_min=0.1, alpha=0.95, neighbours checked=1700 => result=132824
iterations=100, T_max=10000, T_min=0.1, alpha=0.99, neighbours checked=1700 => result=132419
iterations=100, T_max=10000, T_min=0.01, alpha=0.9, neighbours checked=1900 => result=132010
iterations=100, T_max=10000, T_min=0.01, alpha=0.95, neighbours checked=1900 => result=133114
iterations=100, T_max=10000, T_min=0.01, alpha=0.99, neighbours checked=1900 => result=132594
iterations=200, T_max=100, T_min=1, alpha=0.9, neighbours checked=2000 => result=132139
iterations=200, T_max=100, T_min=1, alpha=0.95, neighbours checked=2000 => result=132715
iterations=200, T_max=100, T_min=1, alpha=0.99, neighbours checked=2000 => result=132919
iterations=200, T_max=100, T_min=0.1, alpha=0.9, neighbours checked=2600 => result=131580
iterations=200, T_max=100, T_min=0.1, alpha=0.95, neighbours checked=2600 => result=130741
iterations=200, T_max=100, T_min=0.1, alpha=0.99, neighbours checked=2600 => result=133616
iterations=200, T_max=100, T_min=0.01, alpha=0.9, neighbours checked=3000 => result=132148
iterations=200, T_max=100, T_min=0.01, alpha=0.95, neighbours checked=3000 => result=131737
iterations=200, T_max=100, T_min=0.01, alpha=0.99, neighbours checked=3000 => result=133339
iterations=200, T_max=1000, T_min=1, alpha=0.9, neighbours checked=2600 => result=132197
iterations=200, T_max=1000, T_min=1, alpha=0.95, neighbours checked=2600 => result=132696
iterations=200, T_max=1000, T_min=1, alpha=0.99, neighbours checked=2600 => result=132565
iterations=200, T_max=1000, T_min=0.1, alpha=0.9, neighbours checked=3000 => result=131811
iterations=200, T_max=1000, T_min=0.1, alpha=0.95, neighbours checked=3000 => result=132800
iterations=200, T_max=1000, T_min=0.1, alpha=0.99, neighbours checked=3000 => result=132527
iterations=200, T_max=1000, T_min=0.01, alpha=0.9, neighbours checked=3400 => result=133284
iterations=200, T_max=1000, T_min=0.01, alpha=0.95, neighbours checked=3400 => result=132700
