
Report for ../Lab1Assigment1/knapsack-20.txt

Checking for logarithmic cooling different values
iterations=5, T_max=1000, T_min=0.01, alpha=0.95, neighbours checked=45 => result=509
iterations=5, T_max=1000, T_min=0.01, alpha=0.99, neighbours checked=45 => result=576
iterations=5, T_max=1000, T_min=0.01, alpha=0.999, neighbours checked=45 => result=606
iterations=5, T_max=1000, T_min=0.001, alpha=0.9, neighbours checked=50 => result=516
iterations=5, T_max=1000, T_min=0.001, alpha=0.95, neighbours checked=50 => result=447
iterations=5, T_max=1000, T_min=0.001, alpha=0.99, neighbours checked=50 => result=455
iterations=5, T_max=1000, T_min=0.001, alpha=0.999, neighbours checked=50 => result=532
iterations=5, T_max=10000, T_min=0.1, alpha=0.9, neighbours checked=45 => result=517
iterations=5, T_max=10000, T_min=0.1, alpha=0.95, neighbours checked=45 => result=524
iterations=5, T_max=10000, T_min=0.1, alpha=0.99, neighbours checked=45 => result=611
iterations=5, T_max=10000, T_min=0.1, alpha=0.999, neighbours checked=45 => result=563
iterations=5, T_max=10000, T_min=0.01, alpha=0.9, neighbours checked=50 => result=541
iterations=5, T_max=10000, T_min=0.01, alpha=0.95, neighbours checked=50 => result=510
iterations=5, T_max=10000, T_min=0.01, alpha=0.99, neighbours checked=50 => result=497
iterations=5, T_max=10000, T_min=0.01, alpha=0.999, neighbours checked=50 => result=558
iterations=5, T_max=10000, T_min=0.001, alpha=0.9, neighbours checked=55 => result=539
iterations=5, T_max=10000, T_min=0.001, alpha=0.95, neighbours checked=55 => result=552
iterations=5, T_max=10000, T_min=0.001, alpha=0.99, neighbours checked=55 => result=568
iterations=5, T_max=10000, T_min=0.001, alpha=0.999, neighbours checked=55 => result=524
iterations=5, T_max=100000, T_min=0.1, alpha=0.9, neighbours checked=50 => result=558
iterations=5, T_max=100000, T_min=0.1, alpha=0.95, neighbours checked=50 => result=535
iterations=5, T_max=100000, T_min=0.1, alpha=0.99, neighbours checked=50 => result=524
iterations=5, T_max=100000, T_min=0.1, alpha=0.999, neighbours checked=50 => result=538
iterations=5, T_max=100000, T_min=0.01, alpha=0.9, neighbours checked=55 => result=584
